Date,Closing Price
2012-05-15,5.58267068862915
2012-05-16,5.58267068862915
2012-05-17,5.58267068862915
2012-05-18,5.58267068862915
2012-05-21,5.58267068862915
2012-05-22,5.58267068862915
2012-05-23,5.58267068862915
2012-05-24,5.58267068862915
2012-05-25,5.58267068862915
2012-05-29,5.58267068862915
2012-05-30,5.58267068862915
2012-05-31,5.58267068862915
2012-06-01,5.58267068862915
2012-06-04,5.58267068862915
2012-06-05,5.58267068862915
2012-06-06,5.58267068862915
2012-06-07,5.365164279937744
2012-06-08,5.365164279937744
2012-06-11,5.365164279937744
2012-06-12,5.365164279937744
2012-06-13,5.365164279937744
2012-06-14,5.365164279937744
2012-06-15,5.365164279937744
2012-06-18,5.365164279937744
2012-06-19,5.365164279937744
2012-06-20,5.365164279937744
2012-06-21,5.365164279937744
2012-06-22,5.365164279937744
2012-06-25,5.365164279937744
2012-06-26,5.365164279937744
2012-06-27,5.365164279937744
2012-06-28,5.365164279937744
2012-06-29,5.365164279937744
2012-07-02,5.365164279937744
2012-07-03,5.365164279937744
2012-07-05,5.365164279937744
2012-07-06,5.365164279937744
2012-07-09,5.365164279937744
2012-07-10,5.365164279937744
2012-07-11,5.365164279937744
2012-07-12,5.365164279937744
2012-07-13,5.365164279937744
2012-07-16,5.365164279937744
2012-07-17,5.365164279937744
2012-07-18,5.365164279937744
2012-07-19,5.365164279937744
2012-07-20,5.365164279937744
2012-07-23,5.365164279937744
2012-07-24,5.365164279937744
2012-07-25,5.365164279937744
2012-07-26,5.365164279937744
2012-07-27,5.365164279937744
2012-07-30,5.365164279937744
2012-07-31,5.365164279937744
2012-08-01,5.365164279937744
2012-08-02,5.365164279937744
2012-08-03,5.365164279937744
2012-08-06,5.365164279937744
2012-08-07,5.365164279937744
2012-08-08,5.365164279937744
2012-08-09,5.365164279937744
2012-08-10,5.365164279937744
2012-08-13,5.365164279937744
2012-08-14,5.365164279937744
2012-08-15,5.365164279937744
2012-08-16,5.365164279937744
2012-08-17,5.655173301696777
2012-08-20,5.655173301696777
2012-08-21,5.655173301696777
2012-08-22,5.655173301696777
2012-08-23,5.611672401428223
2012-08-24,5.611672401428223
2012-08-27,5.611672401428223
2012-08-28,5.473918437957764
2012-08-29,5.473918437957764
2012-08-30,5.473918437957764
2012-08-31,5.473918437957764
2012-09-04,5.473918437957764
2012-09-05,5.473918437957764
2012-09-06,5.473918437957764
2012-09-07,5.473918437957764
2012-09-10,5.473918437957764
2012-09-11,5.473918437957764
2012-09-12,5.473918437957764
2012-09-13,5.473918437957764
2012-09-14,5.473918437957764
2012-09-17,5.473918437957764
2012-09-18,5.473918437957764
2012-09-19,5.473918437957764
2012-09-20,5.473918437957764
2012-09-21,5.473918437957764
2012-09-24,5.473918437957764
