,2021-10-31,2021-07-31,2021-04-30,2021-01-31
Intangible Assets,1271500000.0,1308100000.0,1412400000.0,1358600000.0
Capital Surplus,1715200000.0,1688100000.0,1667800000.0,1647200000.0
Total Liab,2664200000.0,2825200000.0,2851000000.0,2932000000.0
Total Stockholder Equity,6941800000.0,6785200000.0,6162600000.0,5989700000.0
Minority Interest,200000.0,200000.0,200000.0,200000.0
Other Current Liab,303400000.0,284700000.0,277200000.0,278100000.0
Total Assets,9606200000.0,9610600000.0,9013800000.0,8921900000.0
Common Stock,5400000.0,5400000.0,5400000.0,5300000.0
Other Current Assets,89600000.0,88700000.0,500000.0,600000.0
Retained Earnings,6202100000.0,6091800000.0,5477500000.0,5360000000.0
Other Liab,304300000.0,342600000.0,292000000.0,300000000.0
Good Will,2574000000.0,2585200000.0,2567700000.0,2553300000.0
Treasury Stock,-980900000.0,-1000100000.0,-988100000.0,-1022800000.0
Other Assets,2673600000.0,2672100000.0,2136200000.0,2137200000.0
Cash,95900000.0,112200000.0,105900000.0,119100000.0
Total Current Liabilities,732100000.0,1063200000.0,992700000.0,961300000.0
Deferred Long Term Asset Charges,2546600000.0,2554900000.0,2017400000.0,2031200000.0
Other Stockholder Equity,-341300000.0,-359800000.0,-347200000.0,-381300000.0
Property Plant Equipment,1604600000.0,1570600000.0,1574900000.0,1575400000.0
Total Current Assets,1465300000.0,1474600000.0,1322600000.0,1297400000.0
Long Term Investments,17200000.0,,,
Net Tangible Assets,3096300000.0,2891900000.0,2182500000.0,2077800000.0
Net Receivables,515300000.0,535100000.0,490100000.0,461200000.0
Long Term Debt,1396100000.0,1182700000.0,1325400000.0,1424700000.0
Inventory,585600000.0,587900000.0,582000000.0,570500000.0
Accounts Payable,161400000.0,153000000.0,141600000.0,137400000.0
Short Long Term Debt,,350000000.0,350000000.0,350300000.0
