,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,11529826000.0,11815103000.0,11698884000.0,12015883000.0
Capital Surplus,23544800000.0,24201763000.0,24403323000.0,24963769000.0
Total Liab,19400126000.0,18299533000.0,17415537000.0,16714501000.0
Total Stockholder Equity,26147027000.0,26693763000.0,26691762000.0,27332370000.0
Minority Interest,207322000.0,156377000.0,150429000.0,154674000.0
Deferred Long Term Liab,384801000.0,369783000.0,348616000.0,335151000.0
Other Current Liab,2255125000.0,1889009000.0,1708158000.0,2478060000.0
Total Assets,45754475000.0,45149673000.0,44257728000.0,44201545000.0
Other Current Assets,2033303000.0,1688918000.0,1516662000.0,1374756000.0
Retained Earnings,2845192000.0,2664707000.0,2500812000.0,2570874000.0
Other Liab,3615327000.0,3654452000.0,3615963000.0,3185497000.0
Good Will,24344275000.0,24422012000.0,23853850000.0,23871451000.0
Treasury Stock,-242965000.0,-172707000.0,-212373000.0,-202273000.0
Other Assets,2420750000.0,2370398000.0,2245421000.0,1662122000.0
Cash,2347732000.0,1799549000.0,2082414000.0,1945868000.0
Total Current Liabilities,5034307000.0,4379628000.0,4116165000.0,4549091000.0
Deferred Long Term Asset Charges,8480000.0,8094000.0,8120000.0,7627000.0
Short Long Term Debt,12602000.0,52611000.0,37950000.0,810470000.0
Other Stockholder Equity,-242965000.0,-172707000.0,-212373000.0,-202273000.0
Property Plant Equipment,1667287000.0,1642283000.0,1580743000.0,2059729000.0
Total Current Assets,5792337000.0,4899877000.0,4878830000.0,4592360000.0
Net Tangible Assets,-9727074000.0,-9543352000.0,-8860972000.0,-8554964000.0
Net Receivables,904142000.0,878431000.0,824822000.0,796272000.0
Long Term Debt,10712957000.0,10192914000.0,9639027000.0,8474125000.0
Accounts Payable,2151687000.0,1950470000.0,1840617000.0,128721000.0
