,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,222000000.0,826000000.0,30000000.0,-28000000.0
Change To Liabilities,-213000000.0,11000000.0,678000000.0,-173000000.0
Total Cashflows From Investing Activities,-1811000000.0,-444000000.0,-444000000.0,-53000000.0
Total Cash From Financing Activities,-479000000.0,526000000.0,-429000000.0,32000000.0
Change To Operating Activities,-376000000.0,-151000000.0,426000000.0,-187000000.0
Net Income,204000000.0,76000000.0,211000000.0,185000000.0
Change In Cash,-2422000000.0,488000000.0,713000000.0,46000000.0
Repurchase Of Stock,-430000000.0,-333000000.0,-393000000.0,-8000000.0
Effect Of Exchange Rate,11000000.0,35000000.0,18000000.0,6000000.0
Total Cash From Operating Activities,-143000000.0,371000000.0,1124000000.0,61000000.0
Depreciation,105000000.0,58000000.0,45000000.0,40000000.0
Dividends Paid,-49000000.0,-49000000.0,-49000000.0,-49000000.0
Change To Account Receivables,12000000.0,268000000.0,-348000000.0,83000000.0
Change To Netincome,125000000.0,109000000.0,111000000.0,113000000.0
Capital Expenditures,-44000000.0,-31000000.0,-30000000.0,-25000000.0
Net Borrowings,,878000000.0,878000000.0,878000000.0
Issuance Of Stock,,30000000.0,13000000.0,40000000.0
