,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,4200000.0,-900000.0,11000000.0,41200000.0
Total Cashflows From Investing Activities,-96000000.0,-112700000.0,-63200000.0,-51500000.0
Net Borrowings,-415800000.0,-391200000.0,-369200000.0,-302000000.0
Total Cash From Financing Activities,-540100000.0,-519500000.0,-476700000.0,-455800000.0
Change To Operating Activities,11600000.0,27500000.0,6600000.0,-41900000.0
Issuance Of Stock,21200000.0,12200000.0,20100000.0,10600000.0
Net Income,242000000.0,252800000.0,116000000.0,36200000.0
Change In Cash,-24400000.0,-2300000.0,-90700000.0,2400000.0
Repurchase Of Stock,-23800000.0,-25300000.0,-18100000.0,-21100000.0
Total Cash From Operating Activities,611700000.0,629900000.0,449200000.0,509700000.0
Depreciation,277500000.0,272200000.0,287800000.0,286900000.0
Other Cashflows From Investing Activities,-29700000.0,-26400000.0,-15900000.0,-30100000.0
Dividends Paid,-121200000.0,-113100000.0,-106600000.0,-96000000.0
Change To Inventory,-30600000.0,-19200000.0,900000.0,-3900000.0
Change To Account Receivables,15100000.0,-3000000.0,-103900000.0,9900000.0
Other Cashflows From Financing Activities,-500000.0,-2100000.0,-2900000.0,-47300000.0
Change To Netincome,104800000.0,77900000.0,78400000.0,158500000.0
Capital Expenditures,-78500000.0,-86300000.0,-55400000.0,-21400000.0
