,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,78000000.0,100000000.0,58000000.0,53000000.0
Change To Liabilities,241000000.0,703000000.0,2779000000.0,98000000.0
Total Cashflows From Investing Activities,-496000000.0,-352000000.0,-467000000.0,-513000000.0
Net Borrowings,-521000000.0,-39000000.0,-475000000.0,1368000000.0
Total Cash From Financing Activities,-1005000000.0,-542000000.0,-945000000.0,872000000.0
Change To Operating Activities,44000000.0,-130000000.0,-283000000.0,132000000.0
Net Income,402000000.0,296000000.0,-654000000.0,-539000000.0
Change In Cash,690000000.0,856000000.0,-1163000000.0,1052000000.0
Effect Of Exchange Rate,-12000000.0,7000000.0,-22000000.0,54000000.0
Total Cash From Operating Activities,2203000000.0,1743000000.0,271000000.0,639000000.0
Depreciation,361000000.0,364000000.0,356000000.0,358000000.0
Other Cashflows From Investing Activities,-24000000.0,-96000000.0,-194000000.0,-108000000.0
Dividends Paid,-394000000.0,-394000000.0,-394000000.0,-393000000.0
Change To Inventory,326000000.0,-444000000.0,-377000000.0,1063000000.0
Change To Account Receivables,53000000.0,222000000.0,-1740000000.0,-661000000.0
Other Cashflows From Financing Activities,-90000000.0,-113000000.0,-96000000.0,-105000000.0
Change To Netincome,664000000.0,250000000.0,471000000.0,417000000.0
Capital Expenditures,-552000000.0,-380000000.0,-331000000.0,-506000000.0
Issuance Of Stock,,4000000.0,20000000.0,2000000.0
