,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,30416000.0,-51908000.0,-28818000.0,-20963000.0
Change To Liabilities,71036000.0,-18477000.0,9759000.0,-30998000.0
Total Cashflows From Investing Activities,-1296936000.0,-1698577000.0,-2437880000.0,-413145000.0
Net Borrowings,449142000.0,299173000.0,978293000.0,-262228000.0
Total Cash From Financing Activities,998681000.0,1281828000.0,2162254000.0,351575000.0
Change To Operating Activities,-38822000.0,-14329000.0,-49134000.0,-30690000.0
Issuance Of Stock,492081000.0,868815000.0,1397649000.0,502289000.0
Net Income,103147000.0,385084000.0,8121000.0,441484000.0
Change In Cash,10481000.0,-176830000.0,-63302000.0,112662000.0
Repurchase Of Stock,-15321000.0,-6496000.0,-1678000.0,-5091000.0
Effect Of Exchange Rate,-87000.0,158000.0,271000.0,663000.0
Total Cash From Operating Activities,308823000.0,239761000.0,212053000.0,173569000.0
Depreciation,197178000.0,176785000.0,168801000.0,164236000.0
Other Cashflows From Investing Activities,-15440000.0,-33671000.0,-98303000.0,14449000.0
Dividends Paid,-170648000.0,-160778000.0,-150982000.0,-143040000.0
Change To Account Receivables,-1042000.0,848000.0,-221000.0,318000.0
Other Cashflows From Financing Activities,243427000.0,281114000.0,-61028000.0,259645000.0
Change To Netincome,-25528000.0,-293009000.0,71910000.0,-373686000.0
