,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-68000000.0,74000000.0,154000000.0,-116000000.0
Change To Liabilities,470000000.0,-1607000000.0,-849000000.0,-118000000.0
Total Cashflows From Investing Activities,-184000000.0,-53000000.0,36000000.0,-229000000.0
Net Borrowings,694000000.0,-574000000.0,1247000000.0,-2139000000.0
Total Cash From Financing Activities,392000000.0,-848000000.0,821000000.0,-2392000000.0
Change To Operating Activities,-525000000.0,794000000.0,-262000000.0,3004000000.0
Issuance Of Stock,5000000.0,28000000.0,38000000.0,37000000.0
Net Income,30000000.0,970000000.0,600000000.0,41000000.0
Change In Cash,-32000000.0,442000000.0,-1143000000.0,751000000.0
Repurchase Of Stock,-200000000.0,-200000000.0,-350000000.0,-192000000.0
Effect Of Exchange Rate,-64000000.0,36000000.0,-50000000.0,71000000.0
Total Cash From Operating Activities,-176000000.0,1307000000.0,-1950000000.0,3301000000.0
Depreciation,309000000.0,313000000.0,304000000.0,309000000.0
Other Cashflows From Investing Activities,1000000.0,-1000000.0,-1000000.0,-1000000.0
Dividends Paid,-103000000.0,-95000000.0,-97000000.0,-97000000.0
Change To Inventory,-959000000.0,867000000.0,467000000.0,104000000.0
Change To Account Receivables,841000000.0,55000000.0,-2012000000.0,187000000.0
Other Cashflows From Financing Activities,-4000000.0,-7000000.0,-17000000.0,-1000000.0
Change To Netincome,-342000000.0,-85000000.0,-198000000.0,-226000000.0
Capital Expenditures,-144000000.0,-132000000.0,-137000000.0,-174000000.0
