,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-35000000.0,-29000000.0,-14000000.0,-175000000.0
Change To Liabilities,476000000.0,56000000.0,38000000.0,70000000.0
Total Cashflows From Investing Activities,-408000000.0,-443000000.0,-257000000.0,-476000000.0
Net Borrowings,-876000000.0,-5000000.0,892000000.0,-44000000.0
Total Cash From Financing Activities,-1413000000.0,-539000000.0,326000000.0,-566000000.0
Change To Operating Activities,-225000000.0,80000000.0,-122000000.0,3000000.0
Issuance Of Stock,3000000.0,3000000.0,3000000.0,3000000.0
Net Income,165000000.0,304000000.0,426000000.0,116000000.0
Change In Cash,-987000000.0,75000000.0,984000000.0,72000000.0
Total Cash From Operating Activities,834000000.0,1057000000.0,915000000.0,1114000000.0
Depreciation,487000000.0,463000000.0,438000000.0,436000000.0
Other Cashflows From Investing Activities,15000000.0,15000000.0,18000000.0,6000000.0
Dividends Paid,-498000000.0,-498000000.0,-498000000.0,-485000000.0
Change To Inventory,-54000000.0,-50000000.0,-8000000.0,22000000.0
Change To Account Receivables,-488000000.0,9000000.0,-59000000.0,16000000.0
Other Cashflows From Financing Activities,-42000000.0,-36000000.0,-71000000.0,-37000000.0
Change To Netincome,473000000.0,195000000.0,202000000.0,451000000.0
Capital Expenditures,-267000000.0,-429000000.0,-261000000.0,-307000000.0
