,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-19000.0,-1863000.0,-1863000.0,500000.0
Change To Liabilities,10305000.0,46769000.0,-19341000.0,20185000.0
Total Cashflows From Investing Activities,-2990000.0,-4186000.0,-4132000.0,-6037000.0
Net Borrowings,-6250000.0,-81250000.0,-32500000.0,-31250000.0
Total Cash From Financing Activities,-81436000.0,-173436000.0,-61015000.0,-125264000.0
Change To Operating Activities,-33442000.0,-48419000.0,19023000.0,-19345000.0
Net Income,132150000.0,154332000.0,146075000.0,159668000.0
Change In Cash,16512000.0,-13373000.0,73677000.0,60687000.0
Repurchase Of Stock,-37687000.0,-67116000.0,-182000.0,-68921000.0
Total Cash From Operating Activities,100938000.0,164249000.0,138824000.0,191988000.0
Depreciation,3244000.0,3787000.0,3047000.0,2632000.0
Dividends Paid,-37499000.0,-25104000.0,-25124000.0,-25115000.0
Change To Inventory,-27588000.0,-7947000.0,7836000.0,23041000.0
Change To Account Receivables,-1645000.0,15030000.0,-23621000.0,32325000.0
Change To Netincome,3881000.0,1937000.0,3619000.0,3780000.0
Capital Expenditures,-2971000.0,-2323000.0,-4132000.0,-9034000.0
Issuance Of Stock,,34000.0,48000.0,22000.0
Other Cashflows From Financing Activities,,,-3257000.0,-3257000.0
