,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Capital Surplus,14389000000.0,14399000000.0,14384000000.0,12656000000.0
Total Liab,10217000000.0,10445000000.0,10344000000.0,7815000000.0
Total Stockholder Equity,11483000000.0,10926000000.0,10673000000.0,8794000000.0
Minority Interest,939000000.0,964000000.0,979000000.0,1010000000.0
Other Current Liab,1486000000.0,1420000000.0,1195000000.0,707000000.0
Total Assets,22639000000.0,22335000000.0,21996000000.0,17619000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,115000000.0,31000000.0,19000000.0,5000000.0
Retained Earnings,-2908000000.0,-3475000000.0,-3713000000.0,-3864000000.0
Other Liab,1272000000.0,1096000000.0,1011000000.0,952000000.0
Other Assets,260000000.0,256000000.0,268000000.0,270000000.0
Cash,457000000.0,344000000.0,121000000.0,104000000.0
Total Current Liabilities,1996000000.0,1972000000.0,1868000000.0,1236000000.0
Deferred Long Term Asset Charges,25000000.0,28000000.0,32000000.0,73000000.0
Short Long Term Debt,20000000.0,,191000000.0,191000000.0
Property Plant Equipment,20406000000.0,20419000000.0,20352000000.0,16214000000.0
Total Current Assets,1464000000.0,1142000000.0,851000000.0,602000000.0
Long Term Investments,509000000.0,518000000.0,525000000.0,533000000.0
Net Tangible Assets,11483000000.0,10926000000.0,10673000000.0,8794000000.0
Net Receivables,811000000.0,690000000.0,632000000.0,437000000.0
Long Term Debt,6949000000.0,7377000000.0,7465000000.0,5624000000.0
Inventory,53000000.0,52000000.0,52000000.0,33000000.0
Accounts Payable,21000000.0,104000000.0,71000000.0,71000000.0
