,2021-10-02,2021-07-03,2021-04-03,2020-12-31
Intangible Assets,246080000.0,246836000.0,240853000.0,258645000.0
Capital Surplus,2106301000.0,2090052000.0,2054076000.0,2029465000.0
Total Liab,2820693000.0,2835374000.0,2980601000.0,2607776000.0
Total Stockholder Equity,295222000.0,268273000.0,230962000.0,232144000.0
Other Current Liab,479964000.0,521904000.0,541526000.0,482841000.0
Total Assets,3115915000.0,3103647000.0,3211563000.0,2839920000.0
Common Stock,1621000.0,1620000.0,1619000.0,1617000.0
Other Current Assets,81171000.0,83086000.0,79510000.0,80290000.0
Retained Earnings,7584593000.0,7423408000.0,7256116000.0,7107989000.0
Other Liab,464483000.0,467128000.0,510929000.0,483085000.0
Good Will,436754000.0,439826000.0,438139000.0,444362000.0
Treasury Stock,-9397293000.0,-9246807000.0,-9080849000.0,-8906927000.0
Other Assets,160099000.0,162429000.0,162646000.0,148625000.0
Cash,524702000.0,460056000.0,683783000.0,436695000.0
Total Current Liabilities,671889000.0,681018000.0,785049000.0,804983000.0
Other Stockholder Equity,-115614000.0,-111179000.0,-111206000.0,-117943000.0
Property Plant Equipment,614906000.0,616006000.0,602002000.0,587255000.0
Total Current Assets,1658076000.0,1638550000.0,1767923000.0,1401033000.0
Net Tangible Assets,-387612000.0,-418389000.0,-448030000.0,-470863000.0
Short Term Investments,130490000.0,203566000.0,125986000.0,6451000.0
Net Receivables,532957000.0,543072000.0,550677000.0,573316000.0
Long Term Debt,1625940000.0,1625824000.0,1623120000.0,1251511000.0
Inventory,388756000.0,348770000.0,327967000.0,304281000.0
Accounts Payable,88904000.0,83249000.0,81511000.0,72212000.0
Short Long Term Debt,,,100000000.0,150000000.0
