,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,17000000.0,11800000.0,10700000.0,18400000.0
Change To Liabilities,10400000.0,-9400000.0,5000000.0,-29000000.0
Total Cashflows From Investing Activities,-12200000.0,-11400000.0,-22700000.0,-51300000.0
Net Borrowings,38100000.0,25100000.0,-3800000.0,128300000.0
Total Cash From Financing Activities,42200000.0,28400000.0,-28400000.0,130100000.0
Change To Operating Activities,-2100000.0,6800000.0,-42100000.0,14800000.0
Issuance Of Stock,4400000.0,8500000.0,1500000.0,6900000.0
Net Income,12600000.0,-25000000.0,0.0,-17100000.0
Change In Cash,2000000.0,33900000.0,-86500000.0,83900000.0
Repurchase Of Stock,-300000.0,-1200000.0,-26100000.0,-2900000.0
Effect Of Exchange Rate,-2200000.0,-1400000.0,-300000.0,6100000.0
Total Cash From Operating Activities,-25800000.0,18300000.0,-35100000.0,-1000000.0
Depreciation,14500000.0,15200000.0,12800000.0,25700000.0
Change To Inventory,-63100000.0,-27100000.0,-17900000.0,-27600000.0
Change To Account Receivables,-16000000.0,-2200000.0,-17300000.0,4300000.0
Change To Netincome,-14000000.0,60000000.0,24400000.0,61500000.0
Capital Expenditures,-27300000.0,-19900000.0,-32900000.0,-40500000.0
Other Cashflows From Financing Activities,,-4000000.0,-4000000.0,-2200000.0
